f1,f2,color,target
0.39737132240898615,-0.11061144093694773,q,0
0.518150830480554,1.2184238851264204,q,0
-0.18732269977866878,-0.18730956555934444,p,0
1.2633702524059132,0.613947783322327,q,0
-0.3755795087479617,0.43404803486877175,q,0
-0.3707341542499698,-0.3725838028562055,p,0
0.1935698172528273,-1.5306241957262383,p,0
-1.3799342660104263,-0.44983002339277817,p,0
-0.8102648962675391,0.2513978660762191,q,0
-0.7264192604169688,-1.1298429610682332,p,0
1.1725190151372433,-0.18062104038922855,p,0
0.05402256375033907,-1.1397985489707654,p,0
-0.43550617962014615,0.08873807176789288,p,0
-0.9207948619378423,0.3005584146765376,p,0
-0.480510951935044,-0.23335499983462143,p,0
-0.48136528978351756,1.4818225476071503,q,0
-0.010797779790347137,-0.8461687431647203,q,0
0.6580359296825513,-0.9766749199768179,p,0
0.16709087600380435,-1.5677360991038205,p,0
-1.0625488391187445,0.15748898869529881,p,0
0.5907732639963283,0.1370946249519764,q,0
-0.09251862591059243,-0.24088295647143104,q,0
-1.182817592293942,-0.5758753667157669,q,0
-0.36851101676783005,0.8456977809751326,q,0
0.27489463165476913,-1.4104321242901872,q,0
0.259267175515836,-0.30806582433305324,q,0
-0.541537600244767,0.48934103107269433,q,0
0.8247996179967608,0.7450240952929589,q,0
-0.6713740185781109,-0.24736990068097167,q,0
0.26501074512285117,0.7804361016978874,p,0
-0.383339390276232,-0.1485271813310537,p,0
-0.8850679792048226,-0.9569652992645367,p,0
0.6500206579153585,1.0849920228566583,p,0
-0.05760809726426708,0.8028263183136194,q,0
0.2893088200381073,-0.5160958036840995,q,0
0.28911648440673116,1.2304292531727754,p,0
-0.028660831287961232,1.2517149246512052,q,0
-2.0957960832717957,0.6575220035001791,p,0
0.06963765459053699,-0.23920588037269397,q,0
0.07340862122840185,-1.5900551316807143,p,0
-0.17573751027000956,0.28569005720939716,q,0
1.182315235793213,-0.4146161746189179,q,0
-0.6467948823145502,-0.40140563486762926,p,0
0.7323216941616594,0.2630008877277476,q,0
-0.42380816301363106,0.4106139464906849,p,0
0.07766203947843231,0.7749159924263114,p,0
-0.5616424751018819,-0.2621297172782146,p,0
-0.31368652250572615,-1.1708119585056949,p,0
0.23689622165166085,0.2088442177439115,q,0
0.004090765313968712,-0.18766970670011754,q,0
-1.1322965936403315,-0.33651625821228726,q,0
-0.2741716132214156,-0.6418218153772952,p,0
-0.12902856933280732,0.32324068545163076,q,0
1.5089487209684243,0.13966225026547116,p,0
0.2060403125782115,-0.059556732612933774,q,0
-1.5350169722392333,-0.021211100359373503,q,0
0.048184167952821155,1.970593689988229,q,0
-0.15388877182489802,0.24123787386689,p,0
-0.02776941576419465,-0.9349424300956257,q,0
0.9142582516120165,0.6015464261494193,q,0
0.6328255576344376,-0.7275099638357911,p,0
1.1222354487488795,-1.1214808502338247,q,0
0.46948567504021627,1.7523645006479829,p,0
-0.7924290601045507,-0.45303818368221754,q,0
0.07972109207011298,-0.4027805232929594,p,0
-1.2405307448529062,0.05485037984482186,p,0
-0.8498429709808839,0.37887394450814527,q,0
-0.7355393873870426,1.2399475240140316,p,0
-0.6266026338689897,-0.25764921296454046,p,0
0.6508137738957358,-0.9846914531471642,p,0
3.1819679476833036,4.045714203425943,p,1
1.7140134123510178,3.1477070868258434,p,1
3.2079062353987386,3.625458297421848,p,1
2.0104394312975344,1.943634709532579,q,1
3.4175532524935184,3.237587738586549,p,1
3.200394280276701,3.2771585675975805,p,1
2.455980222737207,3.1858029577288027,q,1
3.234457978638945,2.428518865578906,q,1
4.492619608915805,3.37906633672943,q,1
2.046957202237881,3.5252428869070638,q,1
2.220254663818143,3.629667682993962,q,1
3.9268764632059234,2.3434541453186317,q,1
3.7707009033954577,3.330224741549199,q,1
3.657648127995592,4.517434386123158,p,1
2.8036895071977037,2.3970110685140082,p,1
2.2883884562995815,2.3473517720276496,q,1
2.9383186324687167,3.272921579853315,p,1
3.221352639464015,3.661746599228819,p,1
3.0104015135023254,4.1628272617258535,p,1
2.788274533409635,5.176135333271695,q,1
3.5005338782120052,2.314273954866974,q,1
2.14328600155111,3.3859779321945482,p,1
2.8212297717393193,3.5712003952736735,q,1
3.378590099658836,2.941736869874502,p,1
2.322565025545276,1.7881222202513083,p,1
2.6427880383463833,3.685119035458778,p,1
3.171274995304163,2.0034089770304098,p,1
3.1385447406809455,3.3082539037830694,q,1
2.2929140510390935,3.1229800847564224,q,1
3.0465669747568,2.0856237617355013,q,1
3.2862298882786267,3.4486276210945874,p,1
3.8664409945402216,3.8430416416279223,q,1
1.897864505634327,2.2497399680679018,p,1
3.412028213766928,3.411028760729767,q,1
3.4120381490448386,6.082185192523777,p,1
3.4567124085545338,3.9084525121444793,p,1
3.763201410794562,3.5211130010446383,p,1
2.7477846042877236,3.607175376394614,q,1
2.3817398283699425,2.8105451146079927,q,1
2.611709161736717,3.065499311509058,q,1
4.851726853338807,1.5061878459266014,q,1
3.549008152299611,1.7098273030482787,p,1
2.6224545073684533,3.871160477573893,q,1
3.0514240152763703,2.1378041776565553,q,1
2.4277570325920252,3.543678199147741,p,1
2.415706694626291,3.17316687166558,p,1
3.036457471923051,2.478719721915346,p,1
4.715155271460261,3.507135217854409,q,1
1.3798859306739142,3.149163451815542,p,1
2.4705708281852896,3.6819466678369794,p,1
2.3659834092538397,2.908210846826481,p,1
3.4039898231843657,3.692604155336097,q,1
2.039762874355379,2.7323990113272414,p,1
2.620043751071235,2.4773366139410307,q,1
4.4123633922248775,3.3239853687687644,q,1
1.9912928365319638,3.734289557643821,p,1
4.697724957610107,3.8259722084409176,p,1
1.7845040272367891,2.612612741706999,q,1
4.013528919349298,2.4338644275049752,p,1
3.3550555425169826,3.6197072427434693,p,1
2.2584556227375336,2.9523797151505597,q,1
0.40698612794474176,2.180489886932568,q,1
2.7979454788854716,2.0017734544281205,p,1
4.3059290431453086,1.8558868976314937,q,1
2.647964410642413,3.104592461828873,p,1
4.153018631252893,1.8513102790564484,p,1
3.930531001723968,3.0081864488156698,p,1
2.2147930791616393,3.3696827794106166,q,1
3.159247756458776,2.5198264982729643,p,1
3.055841667992015,2.6917491225105916,p,1
-1.9091861237990015,2.529704539616837,p,2
-0.7311865470837182,1.0097476009385207,q,2
-0.2935733002749865,0.43832976038199845,q,2
-2.1214280760284665,2.470653765187661,q,2
-1.775206505811974,1.501840384143525,q,2
-2.1664978002858204,1.6055992522729337,q,2
-2.4714918055553694,2.67968167761682,p,2
-1.7143876112279621,1.4456723237914766,q,2
-1.2803200996533994,2.2458396167012875,q,2
-1.349710304928832,2.50370307353889,q,2
-2.663196008737658,1.5518551678424244,p,2
-1.4021651159013904,2.488296212346772,q,2
-2.0167212751713186,2.0938619066470254,q,2
-0.9778680833692601,1.5267428889313361,p,2
-1.5623220950639696,1.8382458780528848,q,2
-2.174144962581776,2.879021481589752,p,2
-1.339666920809576,2.650807708800511,p,2
-0.9556169542765367,2.0168030733062072,p,2
-1.4544376229640288,1.7517865947252351,p,2
-1.7406669180092462,1.8958855565058523,p,2
-1.9224032280058254,2.476125620349531,q,2
-2.654576546586778,3.673909820548368,p,2
-2.8048139051997616,1.0286491097698143,p,2
-1.0735113011999458,2.6333301551703485,q,2
-1.500704146358276,2.502676407411424,p,2
-2.0097974182775316,1.2821965028113347,q,2
-1.9393563534450189,1.4582706307903106,q,2
-1.219904213265799,1.882354094798289,q,2
-2.6603977574340094,1.7428913266776052,p,2
-1.6696548365795005,1.5490203577568202,p,2
-2.657776316453145,2.19494976919353,p,2
-1.8040267431130217,1.5944454597030961,q,2
-2.376830644494658,2.185639949886109,p,2
-3.1584674731978595,0.8740289804987558,p,2
-2.574755377001949,1.8292422786305222,p,2
-1.7512739475215964,3.1802849735596417,q,2
-1.3138723014383844,1.8720491760292584,q,2
-2.015212966322151,1.1979765082897529,p,2
-2.014810508793912,1.7690730888638893,p,2
-1.7418251517295285,1.3382152451581417,p,2
-1.584522788607062,3.2261911304020625,p,2
-2.0870081187654863,2.321369377679153,q,2
-1.44788480663111,1.6790236224913309,q,2
-1.8207260145516666,2.010073920625436,q,2
-1.9218591211609346,1.3815921729156266,q,2
-1.9803918605928459,2.3983986329963596,p,2
-0.8390851137639666,2.7674166608681654,p,2
-0.27745403399075474,1.3861219496895605,p,2
-1.3021434906234575,2.1466736045906814,q,2
-0.24815765342586205,1.3533613717158788,p,2
-2.671777473744621,1.5204858836447823,q,2
-3.6991165794478453,1.5793959826553912,q,2
-2.6073061292429585,2.1203150291809663,p,2
-1.7265952193782725,3.500936671372709,p,2
-1.2396609294511598,1.5384770754700776,p,2
-2.7187317370786865,2.3935353372052046,q,2
-3.056186565616514,3.465167012683483,p,2
-1.0564479034229703,1.6246594783162362,q,2
-3.370507623272702,3.0830978993323304,p,2
-2.0916318762020945,2.9902530495787696,q,2
-3.275542127035494,1.5204999816369817,q,2
-1.9958050402254535,2.0375844750117937,p,2
-2.360052377183395,2.498279945877999,q,2
-2.8540963435060753,1.8860964119829653,q,2
-1.903763494630481,2.4115510672469993,p,2
-1.4307080975288882,1.1002863265297047,q,2
-3.2272913365884976,3.0221414575188073,p,2
-1.7341487904163266,1.4012107707547572,q,2
-0.7590784195819815,2.092539707434287,p,2
-1.0565622527489387,2.054014785128087,p,2
